"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"esri_151.afm.gz","C:\Windows\Fonts\esri_151.ttf","ESRI AMFM Gas","ESRI AMFM Gas","ESRIAMFMGas",FALSE,FALSE,FALSE,NA
NA,"esri_152.afm.gz","C:\Windows\Fonts\esri_152.ttf","ESRI AMFM Sewer","ESRI AMFM Sewer","ESRIAMFMSewer",FALSE,FALSE,FALSE,NA
NA,"esri_153.afm.gz","C:\Windows\Fonts\esri_153.ttf","ESRI AMFM Water","ESRI AMFM Water","ESRIAMFMWater",FALSE,FALSE,FALSE,NA
NA,"esri_30s.afm.gz","C:\Windows\Fonts\esri_30s.ttf","ESRI ArcPad","ESRI ArcPad","ESRIArcPad",FALSE,FALSE,FALSE,NA
NA,"esri_144.afm.gz","C:\Windows\Fonts\esri_144.ttf","ESRI Arrowhead","ESRI Arrowhead","ESRIArrowhead",FALSE,FALSE,FALSE,NA
NA,"esri_34.afm.gz","C:\Windows\Fonts\esri_34.ttf","ESRI Business","ESRI Business","ESRIBusiness",FALSE,FALSE,FALSE,NA
NA,"esri_1.afm.gz","C:\Windows\Fonts\esri_1.ttf","ESRI Cartography","ESRI Cartography","ESRICartography",FALSE,FALSE,FALSE,NA
NA,"esri_375.afm.gz","C:\Windows\Fonts\esri_375.ttf","ESRI Caves 1","ESRI Caves 1","ESRICaves1",FALSE,FALSE,FALSE,NA
NA,"esri_376.afm.gz","C:\Windows\Fonts\esri_376.ttf","ESRI Caves 2","ESRI Caves 2","ESRICaves2",FALSE,FALSE,FALSE,NA
NA,"esri_377.afm.gz","C:\Windows\Fonts\esri_377.ttf","ESRI Caves 3","ESRI Caves 3","ESRICaves3",FALSE,FALSE,FALSE,NA
NA,"esri_33.afm.gz","C:\Windows\Fonts\esri_33.ttf","ESRI Climate & Precipitation","ESRI Climate & Precipitation","ESRIClimate-Precipitation",FALSE,FALSE,FALSE,NA
NA,"esri_406.afm.gz","C:\Windows\Fonts\esri_406.ttf","ESRI Commodities","ESRI Commodities","ESRICommodities",FALSE,FALSE,FALSE,NA
NA,"esri_730.afm.gz","C:\Windows\Fonts\esri_730.ttf","ESRI Conservation","ESRI Conservation","ESRIConservation",FALSE,FALSE,FALSE,NA
NA,"esri_8.afm.gz","C:\Windows\Fonts\esri_8.ttf","ESRI Crime Analysis","ESRI Crime Analysis","ESRICrimeAnalysis",FALSE,FALSE,FALSE,NA
NA,"esri_11.afm.gz","C:\Windows\Fonts\esri_11.ttf","ESRI Default Marker","ESRI Default Marker","ESRIDefaultMarker",FALSE,FALSE,FALSE,NA
NA,"esri_39.afm.gz","C:\Windows\Fonts\esri_39.ttf","ESRI Dimensioning","ESRI Dimensioning","ESRIDimensioning",FALSE,FALSE,FALSE,NA
NA,"esri_405.afm.gz","C:\Windows\Fonts\esri_405.ttf","ESRI Elements","ESRI Elements","ESRIElements",FALSE,FALSE,FALSE,NA
NA,"esri_801.afm.gz","C:\Windows\Fonts\esri_801.ttf","ESRI Enviro Hazard Analysis","ESRI Enviro Hazard Analysis","ESRIEnviroHazardAnalysis",FALSE,FALSE,FALSE,NA
NA,"esri_800.afm.gz","C:\Windows\Fonts\esri_800.ttf","ESRI Enviro Hazard Incident","ESRI Enviro Hazard Incident","ESRIEnviroHazardIncident",FALSE,FALSE,FALSE,NA
NA,"esri_802.afm.gz","C:\Windows\Fonts\esri_802.ttf","ESRI Enviro Hazard Sites","ESRI Enviro Hazard Sites","ESRIEnviroHazardSites",FALSE,FALSE,FALSE,NA
NA,"esri_2.afm.gz","C:\Windows\Fonts\esri_2.ttf","ESRI Environmental & Icons","ESRI Environmental & Icons","ESRIEnvironmental-Icons",FALSE,FALSE,FALSE,NA
NA,"esri_832.afm.gz","C:\Windows\Fonts\esri_832.ttf","ESRI ERS Infrastructures S1","ESRI ERS Infrastructures S1","ESRIERSInfrastructuresS1",FALSE,FALSE,FALSE,NA
NA,"esri_837.afm.gz","C:\Windows\Fonts\esri_837.ttf","ESRI ERS Operations S1","ESRI ERS Operations S1","ESRIERSOperationsS1",FALSE,FALSE,FALSE,NA
NA,"esri_804.afm.gz","C:\Windows\Fonts\esri_804.ttf","ESRI Fire Incident NFPA","ESRI Fire Incident NFPA","ESRIFireIncidentNFPA",FALSE,FALSE,FALSE,NA
NA,"esri_7.afm.gz","C:\Windows\Fonts\esri_7.ttf","ESRI Geology","ESRI Geology","ESRIGeology",FALSE,FALSE,FALSE,NA
NA,"esri_500.afm.gz","C:\Windows\Fonts\esri_500.ttf","ESRI Geology AGSO 1","ESRI Geology AGSO 1","ESRIGeologyAGSO1",FALSE,FALSE,FALSE,NA
NA,"esri_400.afm.gz","C:\Windows\Fonts\esri_400.ttf","ESRI Geology USGS 95-525","ESRI Geology USGS 95-525","ESRIGeologyUSGS95-525",FALSE,FALSE,FALSE,NA
NA,"esri_3.afm.gz","C:\Windows\Fonts\esri_3.ttf","ESRI Geometric Symbols","ESRI Geometric Symbols","ESRIGeometricSymbols",FALSE,FALSE,TRUE,NA
NA,"esri_803.afm.gz","C:\Windows\Fonts\esri_803.ttf","ESRI Hazardous Materials","ESRI Hazardous Materials","ESRIHazardousMaterials",FALSE,FALSE,FALSE,NA
NA,"esri_159.afm.gz","C:\Windows\Fonts\esri_159.ttf","ESRI Hydrants","ESRI Hydrants","ESRIHydrants",FALSE,FALSE,FALSE,NA
NA,"esri_216.afm.gz","C:\Windows\Fonts\esri_216.ttf","ESRI IGL Font16","ESRI IGL Font16","ESRIIGLFont16",FALSE,FALSE,FALSE,NA
NA,"esri_220.afm.gz","C:\Windows\Fonts\esri_220.ttf","ESRI IGL Font20","ESRI IGL Font20","ESRIIGLFont20",FALSE,FALSE,FALSE,NA
NA,"esri_221.afm.gz","C:\Windows\Fonts\esri_221.ttf","ESRI IGL Font21","ESRI IGL Font21","ESRIIGLFont21",FALSE,FALSE,FALSE,NA
NA,"esri_222.afm.gz","C:\Windows\Fonts\esri_222.ttf","ESRI IGL Font22","ESRI IGL Font22","ESRIIGLFont22",FALSE,FALSE,FALSE,NA
NA,"esri_223.afm.gz","C:\Windows\Fonts\esri_223.ttf","ESRI IGL Font23","ESRI IGL Font23","ESRIIGLFont23",FALSE,FALSE,FALSE,NA
NA,"esri_224.afm.gz","C:\Windows\Fonts\esri_224.ttf","ESRI IGL Font24","ESRI IGL Font24","ESRIIGLFont24",FALSE,FALSE,FALSE,NA
NA,"esri_225.afm.gz","C:\Windows\Fonts\esri_225.ttf","ESRI IGL Font25","ESRI IGL Font25","ESRIIGLFont25",FALSE,FALSE,FALSE,NA
NA,"esri_105.afm.gz","C:\Windows\Fonts\esri_105.ttf","ESRI Meteorological 01","ESRI Meteorological 01","ESRIMeteorological01",FALSE,FALSE,FALSE,NA
NA,"esri_27Mcr_2.afm.gz","C:\Windows\Fonts\esri_27Mcr_2.ttf","ESRI Mil2525C Modifiers","ESRI Mil2525C Modifiers","ESRIMil2525CModifiers",FALSE,FALSE,FALSE,NA
NA,"esri_26.afm.gz","C:\Windows\Fonts\esri_26.ttf","ESRI MilMod 01","ESRI MilMod 01","ESRIMilMod01",FALSE,FALSE,FALSE,NA
NA,"esri_19.afm.gz","C:\Windows\Fonts\esri_19.ttf","ESRI MilMod 02","ESRI MilMod 02","ESRIMilMod02",FALSE,FALSE,FALSE,NA
NA,"esri_20.afm.gz","C:\Windows\Fonts\esri_20.ttf","ESRI MilRed 01","ESRI MilRed 01","ESRIMilRed01",FALSE,FALSE,FALSE,NA
NA,"esri_21.afm.gz","C:\Windows\Fonts\esri_21.ttf","ESRI MilSym 01","ESRI MilSym 01","ESRIMilSym01",FALSE,FALSE,FALSE,NA
NA,"esri_22.afm.gz","C:\Windows\Fonts\esri_22.ttf","ESRI MilSym 02","ESRI MilSym 02","ESRIMilSym02",FALSE,FALSE,FALSE,NA
NA,"esri_23.afm.gz","C:\Windows\Fonts\esri_23.ttf","ESRI MilSym 03","ESRI MilSym 03","ESRIMilSym03",FALSE,FALSE,FALSE,NA
NA,"esri_24.afm.gz","C:\Windows\Fonts\esri_24.ttf","ESRI MilSym 04","ESRI MilSym 04","ESRIMilSym04",FALSE,FALSE,FALSE,NA
NA,"esri_25.afm.gz","C:\Windows\Fonts\esri_25.ttf","ESRI MilSym 05","ESRI MilSym 05","ESRIMilSym05",FALSE,FALSE,FALSE,NA
NA,"esri_17.afm.gz","C:\Windows\Fonts\esri_17.ttf","ESRI NIMA City Graphic LN","ESRI NIMA City Graphic LN","ESRINIMACityGraphicLN",FALSE,FALSE,FALSE,NA
NA,"esri_16.afm.gz","C:\Windows\Fonts\esri_16.ttf","ESRI NIMA City Graphic PT","ESRI NIMA City Graphic PT","ESRINIMACityGraphicPT",FALSE,FALSE,FALSE,NA
NA,"esri_13.afm.gz","C:\Windows\Fonts\esri_13.ttf","ESRI NIMA DNC LN","ESRI NIMA DNC LN","ESRINIMADNCLN",FALSE,FALSE,FALSE,NA
NA,"esri_12.afm.gz","C:\Windows\Fonts\esri_12.ttf","ESRI NIMA DNC PT","ESRI NIMA DNC PT","ESRINIMADNCPT",FALSE,FALSE,FALSE,NA
NA,"esri_15.afm.gz","C:\Windows\Fonts\esri_15.ttf","ESRI NIMA VMAP1&2 LN","ESRI NIMA VMAP1&2 LN","ESRINIMAVMAP1-2LN",FALSE,FALSE,FALSE,NA
NA,"esri_14.afm.gz","C:\Windows\Fonts\esri_14.ttf","ESRI NIMA VMAP1&2 PT","ESRI NIMA VMAP1&2 PT","ESRINIMAVMAP1-2PT",FALSE,FALSE,FALSE,NA
NA,"esri_40.afm.gz","C:\Windows\Fonts\esri_40.ttf","ESRI North","ESRI North","ESRINorth",FALSE,FALSE,FALSE,NA
NA,"esri_4.afm.gz","C:\Windows\Fonts\esri_4.ttf","ESRI Oil, Gas, & Water","ESRI Oil, Gas, & Water","ESRIOilGasWater",FALSE,FALSE,FALSE,NA
NA,"esri_121.afm.gz","C:\Windows\Fonts\esri_121.ttf","ESRI Ordnance Survey","ESRI Ordnance Survey","ESRIOrdnanceSurvey",FALSE,FALSE,FALSE,NA
NA,"esri_161.afm.gz","C:\Windows\Fonts\esri_161.ttf","ESRI Pipeline US 1","ESRI Pipeline US 1","ESRIPipelineUS1",FALSE,FALSE,FALSE,NA
NA,"esri_29.afm.gz","C:\Windows\Fonts\esri_29.ttf","ESRI Public1","ESRI Public1","ESRIPublic1",FALSE,FALSE,FALSE,NA
NA,"esri_130.afm.gz","C:\Windows\Fonts\esri_130.ttf","ESRI SDS 1.95 1","ESRI SDS 1.95 1","ESRISDS1-951",FALSE,FALSE,FALSE,NA
NA,"esri_131.afm.gz","C:\Windows\Fonts\esri_131.ttf","ESRI SDS 1.95 2","ESRI SDS 1.95 2","ESRISDS1-952",FALSE,FALSE,FALSE,NA
NA,"esri_132.afm.gz","C:\Windows\Fonts\esri_132.ttf","ESRI SDS 2.00 1","ESRI SDS 2.00 1","ESRISDS2-001",FALSE,FALSE,FALSE,NA
NA,"esri_133.afm.gz","C:\Windows\Fonts\esri_133.ttf","ESRI SDS 2.00 2","ESRI SDS 2.00 2","ESRISDS2-002",FALSE,FALSE,FALSE,NA
NA,"esri_44.afm.gz","C:\Windows\Fonts\esri_44.ttf","ESRI Shields","ESRI Shields","ESRIShields",FALSE,FALSE,FALSE,NA
NA,"esri_149.afm.gz","C:\Windows\Fonts\esri_149.ttf","ESRI Surveyor","ESRI Surveyor","ESRISurveyor",FALSE,FALSE,FALSE,NA
NA,"esri_160.afm.gz","C:\Windows\Fonts\esri_160.ttf","ESRI Telecom","ESRI Telecom","ESRITelecom",FALSE,FALSE,FALSE,NA
NA,"esri_9.afm.gz","C:\Windows\Fonts\esri_9.ttf","ESRI Transportation & Civic","ESRI Transportation & Civic","ESRITransportationCivic",FALSE,FALSE,FALSE,NA
NA,"esri_651.afm.gz","C:\Windows\Fonts\esri_651.ttf","ESRI US Forestry 1","ESRI US Forestry 1","ESRIUSForestry1",FALSE,FALSE,FALSE,NA
NA,"esri_47.afm.gz","C:\Windows\Fonts\esri_47.ttf","ESRI US MUTCD 1","ESRI US MUTCD 1","ESRIUSMUTCD1",FALSE,FALSE,FALSE,NA
NA,"esri_48.afm.gz","C:\Windows\Fonts\esri_48.ttf","ESRI US MUTCD 2","ESRI US MUTCD 2","ESRIUSMUTCD2",FALSE,FALSE,FALSE,NA
NA,"esri_49.afm.gz","C:\Windows\Fonts\esri_49.ttf","ESRI US MUTCD 3","ESRI US MUTCD 3","ESRIUSMUTCD3",FALSE,FALSE,FALSE,NA
NA,"esri_5.afm.gz","C:\Windows\Fonts\esri_5.ttf","ESRI Weather","ESRI Weather","ESRIWeather",FALSE,FALSE,FALSE,NA
NA,"FELIXTI.afm.gz","C:\Windows\Fonts\FELIXTI.TTF","Felix Titling","Felix Titling","FelixTitlingMT",FALSE,FALSE,FALSE,NA
NA,"FTLTLT.afm.gz","C:\Windows\Fonts\FTLTLT.TTF","Footlight MT Light","Footlight MT Light","FootlightMTLight",FALSE,FALSE,FALSE,NA
NA,"FORTE.afm.gz","C:\Windows\Fonts\FORTE.TTF","Forte","Forte","ForteMT",FALSE,FALSE,FALSE,NA
NA,"FRABK.afm.gz","C:\Windows\Fonts\FRABK.TTF","Franklin Gothic Book","Franklin Gothic Book","FranklinGothic-Book",FALSE,FALSE,FALSE,NA
NA,"FRABKIT.afm.gz","C:\Windows\Fonts\FRABKIT.TTF","Franklin Gothic Book Italic","Franklin Gothic Book","FranklinGothic-BookItalic",FALSE,TRUE,FALSE,NA
NA,"FRADM.afm.gz","C:\Windows\Fonts\FRADM.TTF","Franklin Gothic Demi","Franklin Gothic Demi","FranklinGothic-Demi",FALSE,FALSE,FALSE,NA
NA,"FRADMCN.afm.gz","C:\Windows\Fonts\FRADMCN.TTF","Franklin Gothic Demi Cond","Franklin Gothic Demi Cond","FranklinGothic-DemiCond",FALSE,FALSE,FALSE,NA
NA,"FRADMIT.afm.gz","C:\Windows\Fonts\FRADMIT.TTF","Franklin Gothic Demi Italic","Franklin Gothic Demi","FranklinGothic-DemiItalic",FALSE,TRUE,FALSE,NA
NA,"FRAHV.afm.gz","C:\Windows\Fonts\FRAHV.TTF","Franklin Gothic Heavy","Franklin Gothic Heavy","FranklinGothic-Heavy",FALSE,FALSE,FALSE,NA
NA,"FRAHVIT.afm.gz","C:\Windows\Fonts\FRAHVIT.TTF","Franklin Gothic Heavy Italic","Franklin Gothic Heavy","FranklinGothic-HeavyItalic",FALSE,TRUE,FALSE,NA
NA,"framd.afm.gz","C:\Windows\Fonts\framd.ttf","Franklin Gothic Medium","Franklin Gothic Medium","FranklinGothic-Medium",FALSE,FALSE,FALSE,NA
NA,"FRAMDCN.afm.gz","C:\Windows\Fonts\FRAMDCN.TTF","Franklin Gothic Medium Cond","Franklin Gothic Medium Cond","FranklinGothic-MediumCond",FALSE,FALSE,FALSE,NA
NA,"framdit.afm.gz","C:\Windows\Fonts\framdit.ttf","Franklin Gothic Medium Italic","Franklin Gothic Medium","FranklinGothic-MediumItalic",FALSE,TRUE,FALSE,NA
NA,"FREESCPT.afm.gz","C:\Windows\Fonts\FREESCPT.TTF","Freestyle Script","Freestyle Script","FreestyleScript-Regular",FALSE,FALSE,FALSE,NA
NA,"FRSCRIPT.afm.gz","C:\Windows\Fonts\FRSCRIPT.TTF","French Script MT","French Script MT","FrenchScriptMT",FALSE,FALSE,FALSE,NA
NA,"Gabriola.afm.gz","C:\Windows\Fonts\Gabriola.ttf","Gabriola","Gabriola","Gabriola",FALSE,FALSE,FALSE,NA
NA,"gadugi.afm.gz","C:\Windows\Fonts\gadugi.ttf","Gadugi","Gadugi","Gadugi",FALSE,FALSE,FALSE,NA
NA,"gadugib.afm.gz","C:\Windows\Fonts\gadugib.ttf","Gadugi Bold","Gadugi","Gadugi-Bold",TRUE,FALSE,FALSE,NA
NA,"GARA.afm.gz","C:\Windows\Fonts\GARA.TTF","Garamond","Garamond","Garamond",FALSE,FALSE,FALSE,NA
NA,"GARABD.afm.gz","C:\Windows\Fonts\GARABD.TTF","Garamond Bold","Garamond","Garamond-Bold",TRUE,FALSE,FALSE,NA
NA,"GARAIT.afm.gz","C:\Windows\Fonts\GARAIT.TTF","Garamond Italic","Garamond","Garamond-Italic",FALSE,TRUE,FALSE,NA
NA,"georgia.afm.gz","C:\Windows\Fonts\georgia.ttf","Georgia","Georgia","Georgia",FALSE,FALSE,FALSE,NA
NA,"georgiab.afm.gz","C:\Windows\Fonts\georgiab.ttf","Georgia Bold","Georgia","Georgia-Bold",TRUE,FALSE,FALSE,NA
NA,"georgiaz.afm.gz","C:\Windows\Fonts\georgiaz.ttf","Georgia Bold Italic","Georgia","Georgia-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"georgiai.afm.gz","C:\Windows\Fonts\georgiai.ttf","Georgia Italic","Georgia","Georgia-Italic",FALSE,TRUE,FALSE,NA
NA,"GIGI.afm.gz","C:\Windows\Fonts\GIGI.TTF","Gigi","Gigi","Gigi-Regular",FALSE,FALSE,FALSE,NA
NA,"GILSANUB.afm.gz","C:\Windows\Fonts\GILSANUB.TTF","Gill Sans Ultra Bold","Gill Sans Ultra Bold","GillSans-UltraBold",FALSE,FALSE,FALSE,NA
NA,"GILLUBCD.afm.gz","C:\Windows\Fonts\GILLUBCD.TTF","Gill Sans Ultra Bold Condensed","Gill Sans Ultra Bold Condensed","GillSans-UltraBoldCondensed",FALSE,FALSE,FALSE,NA
NA,"GIL_____.afm.gz","C:\Windows\Fonts\GIL_____.TTF","Gill Sans MT","Gill Sans MT","GillSansMT",FALSE,FALSE,FALSE,NA
NA,"GILB____.afm.gz","C:\Windows\Fonts\GILB____.TTF","Gill Sans MT Bold","Gill Sans MT","GillSansMT-Bold",TRUE,FALSE,FALSE,NA
NA,"GILBI___.afm.gz","C:\Windows\Fonts\GILBI___.TTF","Gill Sans MT Bold Italic","Gill Sans MT","GillSansMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"GILC____.afm.gz","C:\Windows\Fonts\GILC____.TTF","Gill Sans MT Condensed","Gill Sans MT Condensed","GillSansMT-Condensed",FALSE,FALSE,FALSE,NA
NA,"GLSNECB.afm.gz","C:\Windows\Fonts\GLSNECB.TTF","Gill Sans MT Ext Condensed Bold","Gill Sans MT Ext Condensed Bold","GillSansMT-ExtraCondensedBold",FALSE,FALSE,FALSE,NA
NA,"GILI____.afm.gz","C:\Windows\Fonts\GILI____.TTF","Gill Sans MT Italic","Gill Sans MT","GillSansMT-Italic",FALSE,TRUE,FALSE,NA
NA,"GLECB.afm.gz","C:\Windows\Fonts\GLECB.TTF","Gloucester MT Extra Condensed","Gloucester MT Extra Condensed","GloucesterMT-ExtraCondensed",FALSE,FALSE,FALSE,NA
NA,"GOUDOSB.afm.gz","C:\Windows\Fonts\GOUDOSB.TTF","Goudy Old Style Bold","Goudy Old Style","GoudyOldStyleT-Bold",TRUE,FALSE,FALSE,NA
NA,"GOUDOSI.afm.gz","C:\Windows\Fonts\GOUDOSI.TTF","Goudy Old Style Italic","Goudy Old Style","GoudyOldStyleT-Italic",FALSE,TRUE,FALSE,NA
NA,"GOUDOS.afm.gz","C:\Windows\Fonts\GOUDOS.TTF","Goudy Old Style","Goudy Old Style","GoudyOldStyleT-Regular",FALSE,FALSE,FALSE,NA
NA,"GOUDYSTO.afm.gz","C:\Windows\Fonts\GOUDYSTO.TTF","Goudy Stout","Goudy Stout","GoudyStout",FALSE,FALSE,FALSE,NA
NA,"HATTEN.afm.gz","C:\Windows\Fonts\HATTEN.TTF","Haettenschweiler","Haettenschweiler","Haettenschweiler",FALSE,FALSE,FALSE,NA
NA,"HARLOWSI.afm.gz","C:\Windows\Fonts\HARLOWSI.TTF","Harlow Solid Italic","Harlow Solid Italic","HarlowSolid",FALSE,TRUE,FALSE,NA
NA,"HARNGTON.afm.gz","C:\Windows\Fonts\HARNGTON.TTF","Harrington","Harrington","Harrington",FALSE,FALSE,FALSE,NA
NA,"heit.afm.gz","C:\Windows\Fonts\heit.ttf","HeiT","HeiT","HeiT",FALSE,FALSE,FALSE,NA
NA,"HTOWERTI.afm.gz","C:\Windows\Fonts\HTOWERTI.TTF","High Tower Text Italic","High Tower Text","HighTowerText-Italic",FALSE,TRUE,FALSE,NA
NA,"HTOWERT.afm.gz","C:\Windows\Fonts\HTOWERT.TTF","High Tower Text","High Tower Text","HighTowerText-Reg",FALSE,FALSE,FALSE,NA
NA,"impact.afm.gz","C:\Windows\Fonts\impact.ttf","Impact","Impact","Impact",FALSE,FALSE,FALSE,NA
NA,"IMPRISHA.afm.gz","C:\Windows\Fonts\IMPRISHA.TTF","Imprint MT Shadow","Imprint MT Shadow","ImprintMT-Shadow",FALSE,FALSE,FALSE,NA
NA,"INFROMAN.afm.gz","C:\Windows\Fonts\INFROMAN.TTF","Informal Roman","Informal Roman","InformalRoman-Regular",FALSE,FALSE,FALSE,NA
NA,"javatext.afm.gz","C:\Windows\Fonts\javatext.ttf","Javanese Text","Javanese Text","JavaneseText",FALSE,FALSE,FALSE,NA
NA,"JOKERMAN.afm.gz","C:\Windows\Fonts\JOKERMAN.TTF","Jokerman","Jokerman","Jokerman-Regular",FALSE,FALSE,FALSE,NA
NA,"JUICE___.afm.gz","C:\Windows\Fonts\JUICE___.TTF","Juice ITC","Juice ITC","JuiceITC-Regular",FALSE,FALSE,FALSE,NA
NA,"ITCKRIST.afm.gz","C:\Windows\Fonts\ITCKRIST.TTF","Kristen ITC","Kristen ITC","KristenITC-Regular",FALSE,FALSE,FALSE,NA
NA,"KUNSTLER.afm.gz","C:\Windows\Fonts\KUNSTLER.TTF","Kunstler Script","Kunstler Script","KunstlerScript",FALSE,FALSE,FALSE,NA
NA,"LATINWD.afm.gz","C:\Windows\Fonts\LATINWD.TTF","Wide Latin","Wide Latin","LatinWide",FALSE,FALSE,FALSE,NA
NA,"LEELAWAD.afm.gz","C:\Windows\Fonts\LEELAWAD.TTF","Leelawadee","Leelawadee","Leelawadee",FALSE,FALSE,FALSE,NA
NA,"LEELAWDB.afm.gz","C:\Windows\Fonts\LEELAWDB.TTF","Leelawadee Bold","Leelawadee","Leelawadee-Bold",TRUE,FALSE,FALSE,NA
NA,"LeelawUI.afm.gz","C:\Windows\Fonts\LeelawUI.ttf","Leelawadee UI","Leelawadee UI","LeelawadeeUI",FALSE,FALSE,FALSE,NA
NA,"LeelaUIb.afm.gz","C:\Windows\Fonts\LeelaUIb.ttf","Leelawadee UI Bold","Leelawadee UI","LeelawadeeUI-Bold",TRUE,FALSE,FALSE,NA
NA,"LeelUIsl.afm.gz","C:\Windows\Fonts\LeelUIsl.ttf","Leelawadee UI Semilight","Leelawadee UI Semilight","LeelawadeeUI-Semilight",FALSE,FALSE,FALSE,NA
NA,"LBRITE.afm.gz","C:\Windows\Fonts\LBRITE.TTF","Lucida Bright","Lucida Bright","LucidaBright",FALSE,FALSE,FALSE,NA
NA,"LBRITED.afm.gz","C:\Windows\Fonts\LBRITED.TTF","Lucida Bright Demibold","Lucida Bright","LucidaBright-Demi",FALSE,FALSE,FALSE,NA
NA,"LBRITEDI.afm.gz","C:\Windows\Fonts\LBRITEDI.TTF","Lucida Bright Demibold Italic","Lucida Bright","LucidaBright-DemiItalic",FALSE,TRUE,FALSE,NA
NA,"LBRITEI.afm.gz","C:\Windows\Fonts\LBRITEI.TTF","Lucida Bright Italic","Lucida Bright","LucidaBright-Italic",FALSE,TRUE,FALSE,NA
NA,"LCALLIG.afm.gz","C:\Windows\Fonts\LCALLIG.TTF","Lucida Calligraphy Italic","Lucida Calligraphy","LucidaCalligraphy-Italic",FALSE,TRUE,FALSE,NA
NA,"lucon.afm.gz","C:\Windows\Fonts\lucon.ttf","Lucida Console","Lucida Console","LucidaConsole",FALSE,FALSE,FALSE,NA
NA,"LFAX.afm.gz","C:\Windows\Fonts\LFAX.TTF","Lucida Fax Regular","Lucida Fax","LucidaFax",FALSE,FALSE,FALSE,NA
NA,"LFAXD.afm.gz","C:\Windows\Fonts\LFAXD.TTF","Lucida Fax Demibold","Lucida Fax","LucidaFax-Demi",FALSE,FALSE,FALSE,NA
NA,"LFAXDI.afm.gz","C:\Windows\Fonts\LFAXDI.TTF","Lucida Fax Demibold Italic","Lucida Fax","LucidaFax-DemiItalic",FALSE,TRUE,FALSE,NA
